name,id,start_time,duration_time
我,nE4kuhO0l3E, 00:00:27, 00:00:02
不可以,Oc10wiHtkcQ, 00:00:03, 00:00:01.500
不可以,Oc10wiHtkcQ, 00:00:06, 00:00:01.500
可以,fXv77ZDL0x4, 00:00:03, 00:00:02
可以,fXv77ZDL0x4, 00:00:05, 00:00:01.500
可以,fXv77ZDL0x4, 00:00:14, 00:00:01.500
會,fXv77ZDL0x4, 00:00:45, 00:00:01.500
會,fXv77ZDL0x4, 00:00:34, 00:00:01.500
不會,uW1cgatZqns, 00:00:03, 00:00:01.500
不會,uW1cgatZqns, 00:00:06, 00:00:02
不會,uW1cgatZqns, 00:00:19, 00:00:01.500
不會,uW1cgatZqns, 00:00:54, 00:00:01.500
是,C6gdeqHSsSc, 00:00:03, 00:00:01.500
是,C6gdeqHSsSc, 00:00:06, 00:00:02
是,C6gdeqHSsSc, 00:00:14, 00:00:01.500
是,C6gdeqHSsSc, 00:00:22, 00:00:02
是,C6gdeqHSsSc, 00:00:40, 00:00:01
什麼,g-sR_QpcJ1M,00:00:03, 00:00:02
什麼,g-sR_QpcJ1M,00:00:06, 00:00:03
什麼,g-sR_QpcJ1M,00:00:13, 00:00:01.500
什麼,g-sR_QpcJ1M,00:00:19, 00:00:02
什麼,g-sR_QpcJ1M,00:00:45, 00:00:03
你,g-sR_QpcJ1M,00:00:15, 00:00:01.500
你,g-sR_QpcJ1M,00:00:27, 00:00:01.500
要,4EtxusDc99k,00:00:06, 00:00:02
要,4EtxusDc99k,00:00:50, 00:00:02
要,4EtxusDc99k,00:01:07, 00:00:01.500
好,yRaslW26c3w,00:00:03, 00:00:02
好,yRaslW26c3w,00:00:17, 00:00:01.500
你,ki6BIC-TyFQ,00:00:13, 00:00:01.500
好,ki6BIC-TyFQ,00:00:14, 00:00:03
你,ki6BIC-TyFQ,00:00:24, 00:00:01.500
